,t10y,t10y,t10y,t10y,t10y,t10y,ffr,ffr,ffr,ffr,ffr,ffr,gdp,gdp,gdp,gdp,gdp,cpi,cpi,cpi,cpi,cpi,cpi,unemp,unemp,unemp,unemp,unemp,unemp,recess
TS Lombard,2.20,2.50,2.80,3.00,3.50,4.00,1.13,1.88,2.38,3.13,3.13,3.75,1.50,1.50,3.50,2.50,2.80,7.00,6.00,3.50,2.50,2.80,2.80,3.50,4.20,3.80,3.80,4.00,4.20,
Oxford Economics,2.65,2.90,2.80,2.65,2.68,2.70,1.38,2.13,2.63,2.38,2.00,2.00,0.70,2.80,2.70,2.10,1.80,8.20,5.00,0.70,1.04,1.65,1.90,3.50,3.30,3.40,3.50,3.50,3.50,
S&P Global Ratings,2.23,2.49,2.78,2.89,2.86,2.82,1.12,1.77,2.52,2.57,2.78,2.61,1.20,2.10,2.80,2.30,2.10,6.60,3.70,1.70,1.80,1.70,2.00,3.60,3.50,3.50,3.50,3.50,3.50,
RSM US LLP,2.60,2.90,3.75,,,,1.50,2.50,3.00,3.50,,,1.50,2.90,2.60,2.20,2.00,8.70,6.40,4.50,3.10,,,3.30,3.00,3.20,3.50,,,
Wells Fargo & Co.,2.55,2.70,2.65,2.60,,,1.50,2.50,3.25,3.25,,,0.60,1.30,2.80,2.20,2.60,7.50,6.00,2.60,2.00,,,3.50,3.30,3.20,3.40,,,
Econoclast,2.50,2.90,3.00,3.00,2.50,2.50,1.30,2.00,2.50,2.75,2.50,2.25,1.00,2.00,2.00,2.50,2.00,8.10,5.90,3.60,3.10,2.50,2.30,3.50,3.50,3.50,3.70,3.90,4.00,
Wrightson ICAP,2.60,2.70,2.80,2.90,3.00,3.00,1.38,2.13,2.63,2.63,2.63,2.13,1.00,3.00,3.00,3.00,2.00,7.60,5.70,2.60,2.40,2.60,2.60,3.50,3.60,3.60,3.50,3.40,3.40,
Credit Suisse,2.20,,,,,,1.13,2.13,2.63,3.13,,,1.50,2.80,1.50,2.40,2.30,7.80,6.40,3.50,2.80,,,3.60,3.40,3.40,3.40,,,
NatWest Markets,2.45,2.50,2.45,2.55,,,1.38,2.63,3.13,3.13,3.13,3.13,-0.50,3.50,3.50,3.00,2.00,7.70,5.50,2.70,2.40,,,3.50,3.20,3.00,3.00,,,
AC Cutts & Associates LLC,2.50,2.30,2.20,2.40,2.60,3.00,0.63,1.38,1.63,2.13,2.63,2.63,2.70,3.80,4.60,3.60,3.20,7.80,6.30,5.20,4.10,3.00,2.00,3.50,3.60,3.50,3.40,3.30,3.30,
Georgia State University,2.71,3.29,3.61,3.62,3.59,3.44,1.13,2.13,2.38,2.63,2.38,2.13,1.70,2.40,1.30,1.80,2.30,7.70,6.40,3.90,2.90,2.30,1.90,3.60,3.80,4.00,4.20,4.50,4.50,
National Association of Home Builders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABN AMRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fannie Mae,2.40,2.40,2.40,2.30,,,0.88,1.38,1.88,2.13,,,0.80,3.10,2.60,2.90,2.50,7.50,5.10,2.50,2.50,,,3.60,3.60,3.60,3.80,,,
PNC Financial Services Group,2.50,2.80,2.97,2.99,2.99,2.99,1.12,2.12,2.88,2.88,2.88,2.88,1.60,3.80,3.50,2.80,1.80,6.70,4.20,2.30,2.10,2.30,2.40,3.50,3.40,3.50,3.60,3.60,3.70,
UCLA Anderson Forecast,2.70,3.10,3.20,3.00,3.00,3.00,1.13,2.13,2.88,3.13,2.88,2.38,2.30,4.70,3.20,2.80,2.20,7.20,4.80,2.90,2.60,2.20,2.00,3.40,3.50,3.60,3.70,3.70,3.70,
California Lutheran University,2.94,3.05,3.34,3.31,,,0.63,0.63,0.88,0.88,,,1.00,2.40,2.30,2.20,2.00,8.00,6.70,5.50,4.90,,,3.45,3.41,3.35,3.32,,,
Mortgage Bankers Association ,2.50,2.70,2.70,2.70,2.60,2.50,1.38,2.38,3.13,3.13,2.63,2.63,0.80,3.30,3.30,3.20,2.80,7.10,4.80,3.00,3.30,2.50,2.20,3.30,3.30,3.50,3.70,4.00,4.20,
Robert Fry Economics LLC,2.60,2.90,3.00,2.60,2.00,2.00,1.38,2.38,3.13,2.63,1.63,1.63,1.50,4.50,4.00,3.00,2.50,8.20,7.10,5.20,3.80,2.50,2.40,3.50,3.50,3.50,4.20,5.00,4.20,
Societe Generale,2.30,2.25,2.25,2.25,2.25,2.25,1.13,1.88,2.38,2.38,2.38,2.38,1.00,3.00,2.40,2.30,2.30,6.90,5.40,3.40,2.70,2.50,2.50,3.50,3.40,3.40,3.40,3.40,3.40,
Bank of America Securities,2.40,2.50,,,,,1.13,2.38,3.13,3.13,,,1.00,3.50,2.50,1.80,1.80,8.40,6.40,3.30,3.00,,,3.40,3.10,3.20,3.30,,,
"Goldman, Sachs & Co.",2.50,2.70,2.80,2.80,2.75,2.70,1.38,2.38,2.88,3.13,3.13,3.13,1.00,2.30,2.50,2.00,2.00,7.90,6.10,3.30,2.80,2.60,2.60,3.50,3.30,3.30,3.20,3.20,3.20,
Scotiabank,2.55,2.75,2.80,2.90,2.80,2.80,1.38,2.13,2.63,2.88,2.88,2.88,1.00,5.40,3.20,4.00,3.60,8.50,7.00,4.50,3.20,2.50,2.20,3.50,3.50,3.60,3.70,3.70,3.70,
KPMG,2.40,2.65,2.88,2.96,3.00,3.05,0.88,1.88,2.88,2.88,2.88,2.88,1.20,2.00,2.50,2.40,2.70,8.30,6.20,2.60,2.10,2.30,2.20,3.40,3.30,3.30,3.30,3.30,3.30,
National Retail Federation,2.45,2.55,2.60,2.60,,,1.00,1.75,2.25,2.50,,,1.80,3.30,2.90,2.70,,6.70,4.40,2.80,2.40,,,3.60,3.40,3.40,3.40,,,
ING Financial Markets LLC,2.75,2.75,2.50,2.00,2.00,2.00,1.38,2.63,2.88,2.38,1.88,1.88,1.80,2.10,2.80,2.40,1.20,8.50,6.30,2.30,2.00,1.50,2.00,3.50,3.60,3.80,4.10,4.30,4.10,
Thru the Cycle,2.70,2.55,2.25,2.10,1.85,1.75,1.13,1.88,2.13,2.13,1.88,1.63,0.80,2.70,1.90,2.80,2.60,7.30,6.50,4.10,2.30,1.90,1.80,3.50,3.60,3.60,3.80,3.90,4.20,
The Conference Board,,,,,,,,,,,,,1.70,1.20,1.70,2.20,2.40,,,,,,,3.70,3.40,3.10,2.90,,,
"Research Seminar in Quantitative Economics, University of Michigan",2.50,2.68,2.82,2.93,,,1.37,2.37,2.87,3.37,,,1.50,3.51,3.03,2.46,1.47,8.24,5.53,3.28,2.92,,,3.43,3.15,3.40,3.60,,,
National Automobile Dealers Association,2.45,2.80,2.90,3.00,,,1.38,2.38,2.63,2.88,,,1.00,2.60,1.20,1.30,,7.00,4.50,4.00,3.70,,,3.70,3.80,4.20,4.40,,,
Rabobank,,,,,,,1.38,2.13,2.88,0.13,0.13,0.13,2.00,3.80,2.90,2.10,2.10,7.60,5.90,3.40,2.40,2.00,2.00,3.80,3.60,3.50,4.00,4.50,4.00,
Jefferies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetLife Investment Management,,2.00,,1.75,,,,1.13,,1.63,,,,,,,,,3.30,,2.40,,,,3.50,,3.30,,,
ACT Research,2.65,3.00,3.25,3.50,3.70,4.00,1.13,2.13,2.38,2.88,2.88,2.88,0.30,3.10,2.70,2.50,2.80,8.90,6.20,5.10,4.00,3.20,2.70,3.60,3.70,4.00,4.00,4.20,4.00,
Daiwa Capital Markets America,2.75,3.20,3.55,3.70,3.80,3.50,1.13,2.13,2.88,3.38,3.63,3.13,0.50,2.70,2.60,2.10,1.70,7.00,5.40,3.80,3.20,2.80,2.50,3.60,3.40,3.50,3.60,3.70,3.80,
National Association of Manufacturers,,,,,,,1.38,1.88,2.38,2.88,3.13,3.38,1.00,4.00,2.50,3.00,2.80,7.00,4.50,3.00,2.50,2.20,2.20,3.40,3.40,3.40,3.40,3.60,4.00,
Naroff Economics LLC,2.70,3.65,3.60,3.25,3.10,2.95,1.13,1.88,2.38,2.88,2.88,2.63,1.10,3.00,2.30,1.60,0.80,7.30,5.30,3.00,2.50,2.40,2.30,3.40,3.40,3.60,3.80,4.00,4.20,
MacroEcon Global Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoreLogic,2.20,2.40,2.60,2.80,2.90,3.00,0.88,1.88,2.38,2.88,2.88,2.88,1.00,3.30,2.60,2.80,2.60,8.00,4.00,3.00,2.50,2.00,2.00,3.60,3.40,3.50,3.60,3.60,3.70,
TD Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stifel, Nicoulas and Company, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMO Capital Markets,2.45,2.75,3.00,2.90,2.80,2.70,1.38,2.38,2.88,2.88,2.88,2.88,1.50,1.00,3.00,2.40,2.40,7.90,5.80,2.80,2.60,2.10,1.70,3.50,3.30,3.40,3.40,3.50,3.50,
S&P Global Market Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameriprise Financial,2.50,2.60,2.75,3.00,3.00,3.00,1.13,1.88,2.38,2.63,2.63,2.38,1.00,1.80,2.50,3.00,2.20,6.80,5.60,3.20,2.50,2.30,2.20,3.30,2.90,3.00,3.00,3.20,3.20,
Point Loma Nazarene University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Mary’s University College of Arts, Humanities and Social Sciences",2.32,2.16,2.04,1.90,1.80,1.75,0.50,1.00,1.25,1.50,1.75,1.75,1.76,1.50,1.10,-0.30,-0.10,6.00,7.00,5.00,5.00,4.50,4.00,3.50,4.00,4.00,4.00,3.50,3.50,
North Carolina A&T State University Willie A. Deese College of Business and Economics,2.43,2.30,2.42,2.41,1.95,2.05,0.88,1.13,1.38,1.38,1.38,1.38,3.28,3.23,2.63,2.47,2.32,6.36,3.57,2.16,1.64,1.40,1.40,3.40,3.50,3.60,3.40,3.50,3.60,
"Deutsche Bank Securities, Inc.",2.50,2.35,,,,,1.38,2.63,3.63,3.13,2.63,2.63,0.30,2.50,2.40,3.10,2.10,7.70,6.10,3.80,3.40,3.00,2.60,3.50,3.40,3.60,4.50,5.00,4.80,
Pantheon Macroeconomics,2.70,3.00,3.15,3.25,3.40,3.50,1.13,2.13,2.63,2.88,3.38,3.63,-1.00,6.00,3.00,3.00,3.00,6.30,3.50,1.50,2.00,2.00,2.00,3.50,3.50,3.50,3.50,3.50,3.50,
Decision Economics Inc.,2.55,3.10,3.65,4.15,4.25,4.18,1.37,2.13,2.63,3.13,3.63,3.63,3.10,2.60,3.60,5.80,4.10,8.10,6.30,3.50,3.10,3.00,3.00,3.30,3.10,3.30,3.50,3.70,3.90,
EconForecaster LLC,2.23,2.38,2.42,2.37,2.20,1.96,0.88,1.88,2.38,2.63,2.63,2.63,3.80,3.60,3.40,3.20,3.60,6.30,3.30,2.60,2.10,1.90,1.80,3.50,3.20,3.00,2.80,2.70,2.50,
University of Central Florida,2.71,2.91,3.07,3.22,3.39,3.51,1.13,2.38,2.88,3.13,3.63,3.63,1.30,4.00,2.70,2.60,2.30,7.80,4.20,3.30,2.60,2.30,2.00,3.50,3.60,3.70,3.80,4.00,4.10,
SS Economics,2.50,2.75,3.00,3.25,3.50,3.50,0.88,1.38,1.63,1.88,2.22,2.38,0.70,1.50,3.00,2.50,2.00,8.00,7.50,3.70,3.50,3.00,3.00,3.60,3.50,3.50,3.40,3.40,3.00,
Amherst Pierpont Securities,2.75,3.25,3.65,3.70,3.60,3.60,1.13,2.38,3.13,3.63,3.63,3.63,0.00,4.90,4.00,3.50,3.10,7.00,5.50,3.60,3.30,3.10,2.80,3.40,3.10,3.00,2.90,2.80,2.80,
Economic Analysis Associates Inc.,2.60,2.80,2.50,2.20,2.30,2.00,1.13,1.88,1.88,1.68,1.68,1.88,-1.40,1.50,2.00,2.00,1.40,6.60,4.20,3.00,2.50,2.40,2.80,3.20,2.90,2.60,2.20,2.40,2.60,
JPMorgan,2.60,2.85,,,,,1.63,2.63,3.13,3.13,,,0.50,3.25,3.50,2.50,2.50,7.48,5.21,2.82,2.77,,,3.50,3.40,3.30,3.20,,,
Independent Commodity Intelligence Services,2.40,2.70,2.90,3.10,3.35,3.50,0.88,1.63,2.13,2.38,2.38,2.13,1.50,2.00,3.00,2.50,2.00,8.80,6.50,5.00,4.00,3.30,2.00,3.60,3.50,3.50,3.40,3.50,3.80,
Grant Thornton ,2.60,3.10,3.00,3.10,2.80,2.70,1.13,2.13,3.00,3.00,2.13,2.00,0.40,2.50,1.00,1.10,1.40,7.80,4.20,2.20,2.20,2.30,2.20,3.50,4.10,4.80,5.20,5.10,4.90,
Northern Trust,2.65,2.95,3.00,3.00,3.00,3.00,1.13,2.13,2.88,2.88,2.88,2.88,1.00,3.80,3.60,2.40,2.50,7.80,5.50,2.80,2.30,2.00,2.00,3.60,3.40,3.40,3.40,3.40,3.40,
UC Riverside School of Business Center for Economic Forecasting and Development,2.70,3.20,2.80,2.50,3.00,3.50,1.13,2.25,2.63,2.63,1.50,1.75,1.09,3.00,5.80,4.80,3.90,7.78,6.82,5.18,3.60,3.02,3.76,3.80,2.90,3.10,3.30,4.50,4.60,
Wilmington Trust Investment Advisors,,2.50,,,,,,1.68,,,,,,,,,,,4.50,2.10,,,,,,,,,,
Nomura Securities International,2.55,2.70,3.00,2.90,,,1.38,2.63,3.63,3.88,,,1.00,4.00,3.50,1.30,0.80,8.00,6.50,3.90,3.10,,,3.50,3.30,3.40,3.80,,,
Credit Agricole CIB,2.55,2.00,2.10,1.95,,,1.13,1.63,2.13,2.38,,,1.60,3.30,1.90,1.80,2.00,7.90,6.50,3.80,3.50,,,3.60,3.50,3.50,3.50,,,
Eaton Corp.,2.50,2.50,1.75,2.00,2.00,2.00,1.38,2.38,2.13,1.88,1.88,1.88,1.00,2.00,2.30,2.30,2.00,7.50,5.90,3.70,2.80,2.40,2.30,3.50,3.60,3.80,4.00,4.00,4.00,
First Trust Advisors LP,2.45,2.55,2.65,2.75,,,1.38,2.13,2.63,3.13,,,1.00,2.50,3.50,3.00,2.50,6.80,5.50,5.00,5.00,,,3.50,3.20,3.00,2.80,,,
National Association of Realtors,2.60,2.80,3.00,3.10,3.00,3.00,1.13,2.38,2.88,2.90,2.90,2.90,4.80,3.20,2.50,2.00,2.00,9.50,9.00,7.00,6.00,4.00,3.50,3.60,3.70,3.80,3.90,4.00,4.00,
Morgan Stanley,2.45,2.60,,,,,1.38,2.38,2.88,3.13,,,2.66,4.60,4.80,4.90,3.07,7.00,4.80,2.10,2.00,,,3.40,3.20,3.10,3.10,,,
